Date,city,pm2_5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,hour,day,month,weekday,year,season_spring,season_summer,season_winter,pm2_5_roll_mean_7,pm2_5_roll_std_7,pm10_roll_mean_7,pm10_roll_std_7,no2_roll_mean_7,no2_roll_std_7,so2_roll_mean_7,so2_roll_std_7,co_roll_mean_7,co_roll_std_7,o3_roll_mean_7,o3_roll_std_7,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm10_lag1,pm10_lag2,pm10_lag3,no2_lag1,no2_lag2,no2_lag3,so2_lag1,so2_lag2,so2_lag3,co_lag1,co_lag2,co_lag3,o3_lag1,o3_lag2,o3_lag3,aqi_bucket_encoded
2015-01-04,Delhi,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,7.7,12.46,0.57,85.4,Satisfactory,0,4,1,6,2015,False,False,True,250.95,196.38558161603072,212.45,163.6461324525168,72.425,50.97936674119573,38.05,24.856186352696987,2.665,2.6222700089807685,53.8,35.09795815523556,473.9,344.2,153.3,20.1,173.2,241.7,102.7,128.4,33.0,29.8,7.5,64.5,0.04,6.28,1.87,42.0,9.4,83.6,1
2015-01-05,Delhi,312.8,155.8,143.1,106.8,6.1,4.9,4.04,2.0,101.3,13.41,1.66,4.46,396.8,Poor,0,5,1,0,2015,False,False,True,263.32,172.30948029635513,201.12,143.9683541616004,79.3,46.7493315460232,30.839999999999996,26.894107161235155,2.9400000000000004,2.352732453977715,63.3,37.083014979906906,32.4,473.9,344.2,414.8,20.1,173.2,25.6,102.7,128.4,50.4,29.8,7.5,2.47,0.04,6.28,80.2,42.0,9.4,3
2015-01-06,Delhi,390.7,91.4,170.3,131.8,83.5,46.0,1.17,84.1,177.5,1.81,9.02,9.85,360.3,Moderate,0,6,1,1,2015,False,False,True,284.55,162.6552273983225,182.83333333333334,136.3375321276818,88.05,46.98696627789456,39.71666666666667,32.42538614522064,2.645,2.2249561793437644,82.33333333333333,57.2164894647222,312.8,32.4,473.9,155.8,414.8,20.1,106.8,25.6,102.7,2.0,50.4,29.8,4.04,2.47,0.04,101.3,80.2,42.0,2
2015-01-07,Delhi,282.3,420.9,165.9,134.7,165.5,25.8,1.15,15.7,85.2,6.33,2.35,0.27,370.3,Moderate,0,7,1,2,2015,False,False,True,284.2285714285714,148.4856638903311,216.84285714285716,153.57887069453767,94.71428571428571,46.37565555947893,36.285714285714285,30.96080471453267,2.4314285714285715,2.1082332933163777,82.74285714285715,52.24250686758364,390.7,312.8,32.4,91.4,155.8,414.8,131.8,106.8,25.6,84.1,2.0,50.4,1.17,4.04,2.47,177.5,101.3,80.2,2
2015-01-08,Delhi,315.2,354.9,161.9,45.6,152.4,37.1,6.81,84.6,28.8,17.48,20.33,4.75,230.7,Severe,0,8,1,3,2015,False,False,True,307.35714285714283,136.8456412305833,233.0142857142857,162.34228683629564,96.51428571428572,43.751359162561215,39.15714285714286,34.71775996723949,3.1371428571428575,2.646958722041293,74.91428571428571,56.05914818509193,282.3,390.7,312.8,420.9,91.4,155.8,134.7,131.8,106.8,15.7,84.1,2.0,1.15,1.17,4.04,85.2,177.5,101.3,5
2015-01-09,Delhi,226.8,103.0,72.6,100.6,32.9,23.4,9.29,56.6,118.8,8.73,28.38,6.88,53.6,Very Poor,0,9,1,4,2015,False,False,True,290.5857142857143,138.75846434928368,222.9857142857143,168.6970008483793,92.54285714285713,41.58260281828036,46.17142857142857,32.118567542036814,3.567142857142857,3.3843793832139757,90.54285714285713,49.6317054963477,315.2,282.3,390.7,354.9,420.9,91.4,45.6,134.7,131.8,84.6,15.7,84.1,6.81,1.15,1.17,28.8,85.2,177.5,4
2015-01-10,Delhi,316.8,209.1,68.0,100.0,30.2,36.8,3.37,11.2,4.4,16.25,13.2,8.95,29.9,Very Poor,0,10,1,5,2015,False,False,True,268.14285714285717,114.80473069728525,249.98571428571427,144.1522739856645,92.15714285714284,41.485091986674654,43.51428571428571,34.387906235159114,4.042857142857143,3.020434374311716,85.17142857142858,57.216044203402554,226.8,315.2,282.3,103.0,354.9,420.9,100.6,45.6,134.7,56.6,84.6,15.7,9.29,6.81,1.15,118.8,28.8,85.2,4
2015-01-11,Delhi,439.9,495.3,135.7,93.8,140.1,22.8,9.87,79.3,119.7,0.76,1.67,7.5,450.2,Poor,0,11,1,6,2015,False,False,True,326.35714285714283,69.86207500360636,261.4857142857143,161.6420265955137,101.89999999999999,29.536587480614624,47.642857142857146,36.98886576358067,5.1,3.6147152953817354,90.8142857142857,58.575689740466814,316.8,226.8,315.2,209.1,103.0,354.9,100.0,100.6,45.6,11.2,56.6,84.6,3.37,9.29,6.81,4.4,118.8,28.8,3
2015-01-12,Delhi,59.0,239.1,175.8,118.4,153.6,32.1,0.1,90.7,191.8,9.01,16.71,0.62,467.8,Severe,0,12,1,0,2015,False,False,True,290.1,123.40869769455742,273.38571428571424,155.51486990607924,103.55714285714285,30.175810242800846,60.31428571428571,33.80273305377484,4.5371428571428565,4.083620592422506,103.74285714285715,70.1246475247911,439.9,316.8,226.8,495.3,209.1,103.0,93.8,100.0,100.6,79.3,11.2,56.6,9.87,3.37,9.29,119.7,4.4,118.8,5
2015-01-13,Delhi,15.9,408.7,182.4,33.6,112.6,31.7,9.49,12.3,25.7,3.1,18.05,9.06,265.3,Moderate,0,13,1,1,2015,False,False,True,236.55714285714288,150.7623168781781,318.7142857142857,138.99499305816053,89.52857142857142,36.92834116166581,50.05714285714286,36.191382820723916,5.725714285714285,4.150501404018785,82.05714285714285,66.91222751094296,59.0,439.9,316.8,239.1,495.3,209.1,118.4,93.8,100.0,90.7,79.3,11.2,0.1,9.87,3.37,191.8,119.7,4.4,2
