Date,no,so2_roll_std_7,nh3,pm10_lag3,no2,pm2_5_roll_std_7,o3_lag2,co_lag2,pm10_roll_std_7,so2_lag3
2015-01-04,198.1,24.856186352696987,13.2,241.7,25.6,196.38558161603072,9.4,6.28,163.6461324525168,64.5
2015-01-05,143.1,26.894107161235155,4.9,173.2,106.8,172.30948029635513,42.0,0.04,143.9683541616004,7.5
2015-01-06,170.3,32.42538614522064,46.0,20.1,131.8,162.6552273983225,80.2,2.47,136.3375321276818,29.8
2015-01-07,165.9,30.96080471453267,25.8,414.8,134.7,148.4856638903311,101.3,4.04,153.57887069453767,50.4
2015-01-08,161.9,34.71775996723949,37.1,155.8,45.6,136.8456412305833,177.5,1.17,162.34228683629564,2.0
2015-01-09,72.6,32.118567542036814,23.4,91.4,100.6,138.75846434928368,85.2,1.15,168.6970008483793,84.1
2015-01-10,68.0,34.387906235159114,36.8,420.9,100.0,114.80473069728524,28.8,6.81,144.1522739856645,15.7
2015-01-11,135.7,36.98886576358067,22.8,354.9,93.8,69.86207500360636,118.8,9.29,161.6420265955137,84.6
2015-01-12,175.8,33.80273305377484,32.1,103.0,118.4,123.40869769455742,4.4,3.37,155.51486990607924,56.6
2015-01-13,182.4,36.19138282072392,31.7,209.1,33.6,150.7623168781781,119.7,9.87,138.99499305816053,11.2
2015-01-14,154.4,36.54726880551893,16.7,495.3,145.7,166.73658723810294,191.8,0.1,165.7317755548749,79.3
2015-01-15,17.2,35.12130678770638,38.8,239.1,34.8,164.7026006675871,25.7,9.49,192.5228854670827,90.7
2015-01-16,137.0,40.03308750568828,1.9,408.7,12.5,169.51572900752416,89.5,2.65,162.39832423484464,12.3
2015-01-17,124.3,41.52988596867837,37.9,568.6,129.2,179.50794252225003,48.5,5.05,167.18471677701146,13.5
2015-01-18,97.5,40.51668086814897,21.3,597.1,1.0,191.13300654381015,167.1,1.88,161.31317071962553,13.3
2015-01-19,108.8,41.29402700956479,44.6,260.2,98.2,182.7701549044852,81.2,6.57,153.08626575204184,91.3
2015-01-20,138.5,36.66744371471004,33.2,185.2,4.3,163.51591156010883,171.9,2.88,208.8247909931513,98.7
2015-01-21,143.5,29.9716771064188,2.6,401.3,146.1,169.73596863251774,100.2,7.15,199.83232495078997,63.0
2015-01-22,106.4,15.950011195696938,23.0,498.0,41.3,164.87150985511343,172.3,1.87,174.03503205088447,95.7
